Year,Station Code,State,Station Name,DO (mg/L),BOD (mg/L),FC (MPN/100ml),FS (MPN/100ml),pH
2020,10155,Uttar Pradesh,Shuklaganj D/S,8,3.4,3300,20,8.2
2020,10156,Uttar Pradesh,Bathing Ghat ( Gola Ghat),7.3,3.7,9200,1.8,8.2
2020,10157,Uttar Pradesh,Bathing Ghat ( Jajmau Bridge),7.4,4.1,17000,20,8.2
2020,1068,Uttar Pradesh,Kanpur D/S ( Jajmau Pumping Station)/jane Vill.,7.3,4.2,22000,1.8,8.1
2020,1147,Uttar Pradesh,Dalmau ( Rai Bareilly),9.3,3.8,1400,20,7.9
2020,2498,Uttar Pradesh,Kala Kankar ( Pratapgarh),9.5,3.8,1300,20,7.8
2020,2487,Uttar Pradesh,Kadaghat ( Prayagraj),8.5,2.2,1300,1.8,8.3
2020,1046,Uttar Pradesh,Prayagraj ( Rasoolabad),8.4,2.5,1400,1.8,8.1
2020,1049,Uttar Pradesh,Prayagraj D/S ( Sangam),7.8,2.5,1200,1.8,8.2
2020,10158,Uttar Pradesh,A/C Tamas River ( Sirsa),8.5,2.4,1300,20,8.1
2020,2485,Uttar Pradesh,"U/S, Vindhyachal ( Mirzapur)",8.5,2.7,1200,1300,8.3
2020,2486,Uttar Pradesh,"D/S, Mirzapur",7.5,3.6,11000,7500,8.5
2020,10153,Uttar Pradesh,Chunar,8.2,3.2,6000,4600,8.4
2020,1070,Uttar Pradesh,U/S Varanasi ( Assighat),8.6,2.6,1100,1100,8.4
2020,1071,Uttar Pradesh,Varanasi D/S ( Malviya Bridge),7.3,3.7,13000,10000,8.4
2020,10152,Uttar Pradesh,A/C Gomti River ( Bhusaula),8.3,3.2,8000,6300,8.5
2020,1073,Uttar Pradesh,Tarighat ( Ghazipur),7.4,3.8,13000,8500,8.4
2021,10150,Uttar Pradesh,Madhya Ganga Barrage ( Bijnor),8.6,1.2,790,1.8,8
2021,10149,Uttar Pradesh,"U/S Brijghat, Garhmukteshwar",9.4,1.2,220,110,7.4
2021,1062,Uttar Pradesh,"Brijghat D/S, Gharmukteshwar",9.1,2,350,160,7.4
2021,2488,Uttar Pradesh,U/S Anoopshahar,8.1,1.7,430,NA,7.1
2021,2489,Uttar Pradesh,Anoopshahar D/S,8.1,1.8,540,430,7.2
2021,1145,Uttar Pradesh,Narora ( Bulandsahar),8.1,1.7,700,NA,7.2
2021,2490,Uttar Pradesh,Kachhla Ghat ( Aligarh),9,1.2,230,1.8,7.4
2021,10151,Uttar Pradesh,Farrukhabad,8.1,1.9,930,1.8,8.4
2021,1063,Uttar Pradesh,U/S Kannauj ( Rajghat),8.2,2.9,1400,1.8,8.3
2021,1066,Uttar Pradesh,Kannauj D/S,8.2,3,1700,1.8,8.2
2021,1146,Uttar Pradesh,Bithoor ( Kanpur),8.3,3.1,1550,40,8.4
2021,1067,Uttar Pradesh,U/S Kanpur ( Ranighat),8.1,3.3,2100,15.5,8.3
2021,10154,Uttar Pradesh,U/S Shuklaganj /bathing Ghat ( Bharaoghat),8.2,3.2,2100,45,8.4
2021,10155,Uttar Pradesh,Shuklaganj D/S,7.9,3.5,2700,20,8.3
2021,10156,Uttar Pradesh,Bathing Ghat ( Gola Ghat),7.8,3.6,3500,1.8,8.2
2021,10157,Uttar Pradesh,Bathing Ghat ( Jajmau Bridge),7.6,3.9,6800,20,8.2
2021,1068,Uttar Pradesh,Kanpur D/S ( Jajmau Pumping Station)/jane Vill.,7.5,4.2,9800,1.8,8.2
2021,1147,Uttar Pradesh,Dalmau ( Rai Bareilly),8,4.1,1700,20,8.2
2021,2498,Uttar Pradesh,Kala Kankar ( Pratapgarh),8.2,4,1600,20,8.1
2021,2487,Uttar Pradesh,Kadaghat ( Prayagraj),8.4,2.7,830,NA,8.2
2021,1046,Uttar Pradesh,Prayagraj ( Rasoolabad),8.6,2.8,930,NA,8.2
2021,1049,Uttar Pradesh,Prayagraj D/S ( Sangam),8.3,2.7,930,NA,8.2
2021,10158,Uttar Pradesh,A/C Tamas River ( Sirsa),8.4,2.7,785,NA,8.2
2021,2485,Uttar Pradesh,"U/S, Vindhyachal ( Mirzapur)",8.2,2.4,850,900,8.3
2021,2486,Uttar Pradesh,"D/S, Mirzapur",7.6,3.7,11000,7000,8.3
2021,10153,Uttar Pradesh,Chunar,8,3.2,7000,5000,8.4
2021,1070,Uttar Pradesh,U/S Varanasi ( Vishwasundari Bridge),8.5,2.3,800,850,8.3
2021,1071,Uttar Pradesh,Varanasi D/S ( Malviya Bridge),7.6,3.7,11000,7000,8.1
2021,10152,Uttar Pradesh,A/C Gomti River ( Bhusaula),8.2,3.2,7000,4600,8.3
2021,1073,Uttar Pradesh,Tarighat ( Ghazipur),7.4,3.9,13000,9000,8.2

